line,line_dist_km,bathy_m
63.3,83.25,2590.3
63.3,85.22,2410.7
63.3,87.18,2556.7
63.3,89.14,2890.3
63.3,91.1,3002.3
63.3,93.06,2949.9
63.3,95.03,3189
63.3,96.99,3336
63.3,98.95,3444
63.3,100.91,3492.1
63.3,102.87,3574.7
63.3,104.83,3614.5
63.3,106.8,3651.9
63.3,108.76,3657.8
63.3,110.72,3656.4
63.3,112.68,3658
63.3,114.64,3669.3
63.3,116.61,3674.6
63.3,118.57,3710
63.3,120.53,3722.5
63.3,122.49,3728.6
63.3,124.45,3745.1
63.3,126.41,3753
63.3,128.38,3778.6
63.3,130.34,3800.6
63.3,132.3,3817.6
63.3,134.26,3830.8
63.3,136.22,3839.9
63.3,138.19,3847.2
63.3,140.15,3875.4
63.3,142.11,3877.6
63.3,144.11,3882.7
63.3,146.11,3895.5
63.3,148.11,3901.1
63.3,150.11,3903.5
63.3,152.11,3910.6
63.3,154.1,3928.8
63.3,156.1,3939.5
63.3,158.1,3941.9
63.3,160.1,3936.5
63.3,162.1,3938.9
63.3,164.1,3943
63.3,166.1,3952.4
63.3,168.1,3966.9
63.3,170.1,3970.5
63.3,172.1,3975.6
63.3,174.1,3977.9
63.3,176.1,3981.9
63.3,178.1,3995.2
63.3,180.09,3999.5
63.3,182.09,4007.4
63.3,184.09,3978.7
63.3,186.09,3978.7
63.3,188.09,3982.2
63.3,190.09,3986.2
63.3,192.09,3986.6
63.3,194.09,3963.3
63.3,196.09,3942
63.3,198.09,3928.4
63.3,200.09,3939.4
63.3,202.09,3957.6
63.3,204.09,3976.6
63.3,206.08,4006.3
63.3,208.08,4024.9
63.3,210.08,4026.7
63.3,212.08,4067.6
63.3,214.08,4123.7
63.3,216.08,4166.7
63.3,218.08,4176.9
63.3,220.08,4180.1
63.3,222.08,4199.2
63.3,224.08,4218.5
63.3,226.08,4230.9
63.3,228.08,4243.2
63.3,230.08,4252.6
63.3,232.07,4269.5
63.3,234.07,4278
63.3,236.07,4277.1
63.3,238.07,4277.7
63.3,240.07,4264.2
63.3,242.07,4325.9
63.3,244.07,4339.9
63.3,246.07,4395.8
63.3,248.07,4412.2
63.3,250.07,4422
63.3,252.07,4432.6
63.3,254.07,4441.2
63.3,256.07,4476.5
63.3,258.06,4498
63.3,260.06,4497
63.3,262.06,4496.1
63.3,264.06,4490.4
63.3,266.06,4465.7
63.3,268.06,4489.4
63.3,270.06,4489.8
63.3,272.06,4480.4
63.3,274.06,4483.8
63.3,276.06,4485.5
63.3,278.06,4497.9
63.3,280.06,4527.7
63.3,282.06,4540.2
63.3,284.05,4550.1
63.3,286.05,4565
63.3,288.05,4559.2
63.3,290.05,4574.2
63.3,292.05,4577.5
63.3,294.05,4598.5
63.3,296.05,4602.2
63.3,298.05,4593.1
63.3,300.05,4600
63.3,302.05,4610.8
63.3,304.05,4613
63.3,306.05,4618.5
63.3,308.04,4631.3
63.3,310.04,4642.3
63.3,312.04,4650.4
63.3,314.04,4658.2
63.3,316.04,4663.6
63.3,318.04,4649.2
63.3,320.04,4648.9
63.3,322.04,4654.5
63.3,324.04,4660.9
63.3,326.04,4664.3
63.3,328.04,4660.6
63.3,330.03,4658.4
63.3,332.03,4558.9
63.3,334.03,4641.5
63.3,336.03,4666.9
63.3,338.03,4669
63.3,340.03,4669
63.3,342.03,4669.1
63.3,344.03,4670.4
63.3,346.03,4671.2
63.3,348.03,4671.9
63.3,350.03,4672.2
63.3,352.03,4671.2
63.3,354.02,4672.4
63.3,356.02,4672.5
63.3,358.02,4672.9
63.3,360.02,4673
63.3,362.02,4674
63.3,364.02,4674
66.7,0,19.9
66.7,1.96,32.3
66.7,3.92,47.7
66.7,5.88,62.7
66.7,7.84,76.6
66.7,9.8,133.5
66.7,11.76,358.6
66.7,13.72,395.1
66.7,15.68,183.9
66.7,17.64,357.3
66.7,19.6,149.9
66.7,21.56,656.4
66.7,23.52,791
66.7,25.5,884.3
66.7,27.49,1226.2
66.7,29.48,1130.9
66.7,31.47,825.8
66.7,33.46,790.1
66.7,35.45,910.3
66.7,37.44,1044.2
66.7,39.43,1148
66.7,41.42,1216.3
66.7,43.41,1278.8
66.7,45.4,1359.1
66.7,47.39,1450.6
66.7,49.38,1660.3
66.7,51.37,1825.9
66.7,53.36,1956.8
66.7,55.35,2335.4
66.7,57.34,2600.7
66.7,59.26,2805.2
66.7,61.19,2912.3
66.7,63.12,2950
66.7,65.04,2978.4
66.7,66.97,3012.8
66.7,68.9,3044.8
66.7,70.82,3052.5
66.7,72.75,3061.8
66.7,74.68,3116.8
66.7,76.6,3085.4
66.7,78.53,2870.6
66.7,80.46,2770.3
66.7,82.38,2794.8
66.7,84.31,2830.5
66.7,86.24,2861
66.7,88.16,2879.8
66.7,90.09,2894.6
66.7,92.02,2905
66.7,93.94,2941
66.7,95.87,2981.1
66.7,97.8,3065.5
66.7,99.72,3130.6
66.7,101.65,3112.9
66.7,103.58,3108.1
66.7,105.54,3121.4
66.7,107.5,3153.2
66.7,109.46,3272
66.7,111.42,3359.9
66.7,113.39,3475.4
66.7,115.35,3529
66.7,117.31,3544.6
66.7,119.27,3467.7
66.7,121.23,3508.4
66.7,123.19,3345.1
66.7,125.16,3239.9
66.7,127.12,3260.5
66.7,129.08,3254.9
66.7,131.04,3256.8
66.7,133,3256.5
66.7,134.96,3287
66.7,136.93,3304.6
66.7,138.89,3324.9
66.7,140.85,3337.3
66.7,142.81,3352.5
66.7,144.77,3360.3
66.7,146.73,3371
66.7,148.7,3373.3
66.7,150.66,3452.8
66.7,152.62,3494.7
66.7,154.58,3519
66.7,156.54,3520.3
66.7,158.5,3534.3
66.7,160.47,3555
66.7,162.43,3594.4
66.7,164.39,3585.4
66.7,166.35,3587.8
66.7,168.31,3593
66.7,170.31,3595.6
66.7,172.31,3596.6
66.7,174.31,3589.5
66.7,176.31,3610.5
66.7,178.31,3639
66.7,180.31,3662.5
66.7,182.31,3680.6
66.7,184.31,3715.4
66.7,186.31,3742.6
66.7,188.3,3754.4
66.7,190.3,3784
66.7,192.3,3815.3
66.7,194.3,3833.3
66.7,196.3,3865.7
66.7,198.3,3881.9
66.7,200.3,3893
66.7,202.3,3917.8
66.7,204.3,3916.4
66.7,206.3,3925.5
66.7,208.3,3940.1
66.7,210.3,3941
66.7,212.29,3875.4
66.7,214.29,3905.1
66.7,216.29,3923.5
66.7,218.29,3928
66.7,220.29,3919.4
66.7,222.29,3911.1
66.7,224.29,3910.8
66.7,226.29,3896.8
66.7,228.29,3894.9
66.7,230.29,3901.8
66.7,232.29,3907.4
66.7,234.29,3916.3
66.7,236.28,3936.8
66.7,238.28,3988.9
66.7,240.28,3961.9
66.7,242.28,3964.1
66.7,244.28,3962.4
66.7,246.28,3972.3
66.7,248.28,3981
66.7,250.28,3984.5
66.7,252.28,4003.3
66.7,254.28,4021
66.7,256.28,4037.3
66.7,258.27,4066.9
66.7,260.27,4101.8
66.7,262.27,4104.3
66.7,264.27,4122.4
66.7,266.27,4138.2
66.7,268.27,4162.5
66.7,270.27,4184
66.7,272.27,4191.2
66.7,274.27,4208.7
66.7,276.27,4217.8
66.7,278.27,4231.7
66.7,280.27,4249.4
66.7,282.26,4262.2
66.7,284.26,4267.1
66.7,286.26,4250
66.7,288.26,4274.1
66.7,290.26,4298.9
66.7,292.26,4328
66.7,294.26,4350.3
66.7,296.26,4370.2
66.7,298.26,4396
66.7,300.26,4422.8
66.7,302.26,4424
66.7,304.25,4427.6
66.7,306.25,4424.5
66.7,308.25,4413.6
66.7,310.25,4403.2
66.7,312.25,4398.4
66.7,314.25,4396
66.7,316.25,4399
66.7,318.25,4367.3
66.7,320.25,4408.9
66.7,322.25,4396.5
66.7,324.25,4376.5
66.7,326.24,4276.6
66.7,328.24,4154.3
66.7,330.24,4218.9
66.7,332.24,4314.5
66.7,334.24,4330
66.7,336.24,4345.3
66.7,338.24,4493.1
66.7,340.24,4459.1
66.7,342.24,4477.3
66.7,344.24,4489.4
66.7,346.23,4497.8
66.7,348.23,4495.9
66.7,350.23,4494.4
66.7,352.23,4506.1
66.7,354.23,4518.4
66.7,356.23,4534.7
66.7,358.23,4544.1
66.7,360.23,4551
66.7,362.23,4549
66.7,364.23,4549
66.7,366.23,4554
66.7,368.22,4563.5
66.7,370.22,4572.6
66.7,372.22,4581.7
66.7,374.22,4587.9
66.7,376.22,4593.4
66.7,378.22,4594.2
66.7,380.22,4599.2
66.7,382.22,4612.4
66.7,384.22,4614.7
66.7,386.22,4615.6
66.7,388.21,4612.9
66.7,390.21,4613.6
70,0,589.4
70,1.99,766.7
70,3.98,845.3
70,5.97,909.6
70,7.97,977.5
70,9.96,1042.8
70,11.95,991.2
70,13.94,1037.8
70,15.93,1088.2
70,17.92,1132.9
70,19.91,1160.1
70,21.91,1204.8
70,23.9,1283.8
70,25.89,1312.1
70,27.82,1330.1
70,29.74,1349.7
70,31.67,1370.9
70,33.6,1410.4
70,35.52,1447.2
70,37.45,1481.3
70,39.38,1523.1
70,41.3,1578.2
70,43.23,1636.3
70,45.15,1718.4
70,47.08,1841.5
70,49.01,1984.2
70,50.93,2127.5
70,52.86,2200.5
70,54.79,2325.7
70,56.71,2389.8
70,58.64,2570.1
70,60.57,2818.8
70,62.49,3048.9
70,64.42,3105.9
70,66.35,3221
70,68.27,3268.8
70,70.2,3193.8
70,72.13,3200.4
70,74.09,3202
70,76.05,3232.2
70,78.01,3282.7
70,79.97,3303
70,81.94,3310.8
70,83.9,3312.2
70,85.86,3306.2
70,87.82,3303.9
70,89.78,3272.2
70,91.74,3075.5
70,93.7,2403.4
70,95.67,2292.9
70,97.63,1979.2
70,99.59,1632.9
70,101.55,1633.6
70,103.51,1641
70,105.47,2146.8
70,107.44,2536.8
70,109.4,2768.8
70,111.36,3011.2
70,113.32,3295.4
70,115.28,3505.8
70,117.24,3546.1
70,119.21,3605.6
70,121.17,3683.2
70,123.13,3782.3
70,125.09,3809
70,127.05,3808
70,129.01,3805.6
70,130.98,3868.5
70,132.94,3797.7
70,134.9,3831.8
70,136.86,3796.2
70,138.86,3798.7
70,140.86,3800
70,142.86,3811.9
70,144.86,3827
70,146.86,3845.1
70,148.85,3863
70,150.85,3897.1
70,152.85,3889.2
70,154.85,3907
70,156.85,3917.6
70,158.85,3906
70,160.85,3904.4
70,162.85,3904.8
70,164.85,3906.6
70,166.85,3953.9
70,168.85,3853.5
70,170.84,3326.8
70,172.84,3498.7
70,174.84,3634.8
70,176.84,3706.9
70,178.84,3877.2
70,180.84,4047
70,182.84,4049.2
70,184.84,4050.8
70,186.84,4055.2
70,188.84,4046.9
70,190.84,4057.9
70,192.83,4069.4
70,194.83,4073.8
70,196.83,4089.2
70,198.83,4102.7
70,200.83,4109.2
70,202.83,4107.9
70,204.83,4104.2
70,206.83,4107.4
70,208.83,4111.5
70,210.83,4114.5
70,212.82,4076.3
70,214.82,4072.4
70,216.82,4085.4
70,218.82,4095
70,220.82,4103.4
70,222.82,4087.3
70,224.82,4044.1
70,226.82,4103.7
70,228.82,4111.2
70,230.82,4120
70,232.82,4140.7
70,234.81,4162.7
70,236.81,4186.4
70,238.81,4190.9
70,240.81,4179.2
70,242.81,4177.1
70,244.81,4176.5
70,246.81,4184.4
70,248.81,4194.6
70,250.81,4202
70,252.8,4221.1
70,254.8,4238.7
70,256.8,4242.3
70,258.8,4247.1
70,260.8,4254.4
70,262.8,4263.7
70,264.8,4268.1
70,266.8,4274.3
70,268.8,4283.5
70,270.8,4289.9
70,272.8,4292.8
70,274.79,4297.9
70,276.79,4304.5
70,278.79,4315.7
70,280.79,4317
70,282.79,4320.6
70,284.79,4328.3
70,286.79,4340.7
70,288.79,4345.9
70,290.79,4354.5
70,292.78,4358.3
70,294.78,4368.9
70,296.78,4366.6
70,298.78,4367.5
70,300.78,4367.4
70,302.78,4373.6
70,304.78,4381.3
70,306.78,4390.5
70,308.78,4403.9
70,310.78,4417
70,312.77,4418.8
70,314.77,4424
70,316.77,4430.7
70,318.77,4442.3
70,320.77,4438
70,322.77,4446
70,324.77,4452.4
70,326.77,4459.9
70,328.77,4463.5
70,330.76,4468.2
70,332.76,4470.2
70,334.76,4473.8
70,336.76,4478.9
70,338.76,4483.2
70,340.76,4498.9
70,342.76,4504.5
70,344.76,4510.8
70,346.76,4517.6
70,348.76,4516.9
70,350.75,4526.6
70,352.75,4561.7
70,354.75,4525.5
70,356.75,4539.3
70,358.75,4546.4
70,360.74,4552
70,362.73,4578
70,364.72,4587
70,366.71,4571.3
70,368.7,4583
70,370.69,4596.6
70,372.68,4619
70,374.67,4644.2
70,376.67,4667.1
70,378.66,4676.3
70,380.65,4672.8
70,382.64,4656.4
70,384.63,4640.2
70,386.62,4639.6
70,388.61,4654.3
70,390.6,4654.3
70,392.59,4649.5
70,394.58,4644.8
70,396.57,4644.6
70,398.56,4648.4
70,400.55,4653.2
70,402.54,4660.5
70,404.53,4668.3
70,406.52,4682.6
70,408.52,4694.3
70,410.51,4685.7
70,412.5,4684.4
70,414.49,4684.3
70,416.48,4686.2
70,418.47,4692.3
70,420.46,4690
70,422.45,4695.6
70,424.44,4676
70,426.43,4622.7
70,428.42,4517.9
70,430.41,4375.3
70,432.4,4276.2
70,434.39,4167.9
70,436.38,4146.4
70,438.37,4220.6
70,440.36,4295.8
70,442.36,4336
70,444.35,4433.7
70,446.34,4584.9
70,448.33,4686.3
70,450.32,4719.4
70,452.31,4712.3
70,454.3,4702.1
70,456.29,4701
70,458.28,4704.1
70,460.27,4705.9
70,462.26,4703.2
70,464.25,4692.6
70,466.24,4677.5
70,468.23,4698.8
70,470.22,4703.7
70,472.21,4693.9
70,474.2,4690.5
70,476.2,4706.3
70,478.19,4714
70,480.18,4715.1
70,482.17,4741.3
70,484.16,4737.4
70,486.15,4735.4
70,488.14,4736.5
70,490.12,4747.1
70,492.1,4768.3
70,494.08,4789.1
70,496.06,4809.3
70,498.04,4794.2
70,500.02,4786.1
70,501.99,4787.6
70,503.97,4762.7
70,505.95,4762.9
70,507.93,4760.2
70,509.91,4757.1
70,511.89,4710.9
70,513.87,4659.8
70,515.85,4674.5
70,517.83,4685.2
70,519.81,4699.1
70,521.79,4692.1
70,523.77,4690.1
70,525.75,4680.7
70,527.73,4674
70,529.71,4686.8
70,531.69,4706.3
70,533.67,4699.5
70,535.64,4720.5
70,537.62,4770.3
70,539.6,4768.5
70,541.58,4766.7
70,543.56,4773.9
70,545.54,4778.1
70,547.52,4781.2
70,549.5,4743
73.3,0,204.1
73.3,1.93,290.9
73.3,3.85,389.9
73.3,5.78,447.5
73.3,7.7,495.5
73.3,9.63,557.1
73.3,11.55,602.4
73.3,13.48,644
73.3,15.4,689.7
73.3,17.33,736.7
73.3,19.25,783.2
73.3,21.18,823.9
73.3,23.1,860.1
73.3,25.03,889.9
73.3,26.95,921
73.3,28.88,955
73.3,30.8,993.9
73.3,32.73,1038.1
73.3,34.66,1070.9
73.3,36.58,1096.9
73.3,38.51,1119.7
73.3,40.44,1137
73.3,42.36,1150.8
73.3,44.29,1164.9
73.3,46.22,1199.4
73.3,48.14,1113.4
73.3,50.07,1308.1
73.3,52,1454.2
73.3,53.92,1501.2
73.3,55.85,1601.7
73.3,57.78,1723.5
73.3,59.7,1843.7
73.3,61.63,1922.6
73.3,63.56,2077.3
73.3,65.48,2236.4
73.3,67.41,2352.7
73.3,69.33,2488.2
73.3,71.26,2591.5
73.3,73.19,2707.6
73.3,75.11,2789.5
73.3,77.04,3025.4
73.3,79,3257.4
73.3,80.96,3540.2
73.3,82.93,3707.3
73.3,84.89,3760.6
73.3,86.85,3786.4
73.3,88.81,3836.4
73.3,90.77,3840.2
73.3,92.73,3859.2
73.3,94.69,3866.9
73.3,96.66,3871
73.3,98.62,3882
73.3,100.58,3892.6
73.3,102.54,3874.6
73.3,104.5,3869.6
73.3,106.46,3844.4
73.3,108.42,3753.5
73.3,110.39,3589.8
73.3,112.35,3654.3
73.3,114.31,3888.3
73.3,116.27,4052.3
73.3,118.23,4079
73.3,120.19,4057.4
73.3,122.16,4078.2
73.3,124.12,4070.4
73.3,126.08,4067.1
73.3,128.04,4068.1
73.3,130,4066.7
73.3,131.96,4066.4
73.3,133.92,4066
73.3,135.89,4065.1
73.3,137.85,4064.7
73.3,139.81,4062.9
73.3,141.77,4060.8
73.3,143.77,4060.3
73.3,145.77,4056.8
73.3,147.77,4054.3
73.3,149.77,4059
73.3,151.76,4062.7
73.3,153.76,4064.6
73.3,155.76,4064.9
73.3,157.76,4066.1
73.3,159.76,4070.7
73.3,161.76,4077.8
73.3,163.76,4079.8
73.3,165.76,4078.4
73.3,167.76,4085.3
73.3,169.76,4076.5
73.3,171.75,4086.5
73.3,173.75,4077.5
73.3,175.75,4070.9
73.3,177.75,4073.8
73.3,179.75,4072.1
73.3,181.75,4066.8
73.3,183.75,4051.3
73.3,185.75,4075.2
73.3,187.75,4082.5
73.3,189.75,4091.7
73.3,191.74,4102.9
73.3,193.74,4106.1
73.3,195.74,4109.9
73.3,197.74,4107.4
73.3,199.74,4067
73.3,201.74,4088.9
73.3,203.74,4112
73.3,205.74,4136.5
73.3,207.74,4142.7
73.3,209.74,4138.1
73.3,211.73,4143.4
73.3,213.73,4159
73.3,215.73,4161.5
73.3,217.73,4164.8
73.3,219.73,4165.9
73.3,221.73,4156.4
73.3,223.73,4174.3
73.3,225.73,4186.2
73.3,227.73,4190.6
73.3,229.72,4182.4
73.3,231.72,4174
73.3,233.72,4231.1
73.3,235.72,4273.1
73.3,237.72,4299.5
73.3,239.72,4325.1
73.3,241.72,4325.6
73.3,243.72,4320.7
73.3,245.72,4325.5
73.3,247.71,4321.1
73.3,249.71,4315
73.3,251.71,4307.3
73.3,253.71,4344.4
73.3,255.71,4362.8
73.3,257.71,4347
73.3,259.71,4319.7
73.3,261.71,4318.4
73.3,263.71,4331.3
73.3,265.7,4350.1
73.3,267.7,4357.9
73.3,269.7,4350.8
73.3,271.7,4350
73.3,273.7,4343.3
73.3,275.7,4354.1
73.3,277.7,4299.9
73.3,279.7,4174.5
73.3,281.7,3955.5
73.3,283.7,3739.8
73.3,285.69,3642.9
73.3,287.69,3384.8
73.3,289.69,3214.7
73.3,291.69,3291
73.3,293.69,3483
73.3,295.69,3835.4
73.3,297.69,4174.9
73.3,299.69,4359.7
73.3,301.69,4428.5
73.3,303.68,4455.9
73.3,305.68,4452.4
73.3,307.68,4453.4
73.3,309.68,4456.5
73.3,311.68,4455.7
73.3,313.68,4459.2
73.3,315.68,4465
73.3,317.68,4465.1
73.3,319.67,4466
73.3,321.67,4467.8
73.3,323.67,4470.1
73.3,325.67,4473.8
73.3,327.67,4477.2
73.3,329.67,4478
73.3,331.67,4478.6
73.3,333.67,4466.9
73.3,335.67,4460.1
73.3,337.66,4462.2
73.3,339.66,4442.4
73.3,341.66,4461.4
73.3,343.66,4483.1
73.3,345.66,4477.2
73.3,347.66,4475.6
73.3,349.66,4444.3
73.3,351.66,4524.6
73.3,353.66,4558.7
73.3,355.65,4531.4
73.3,357.65,4572.9
73.3,359.65,4564
73.3,361.65,4559.7
73.3,363.65,4551.9
76.7,0,20.5
76.7,1.87,24.8
76.7,3.74,27.6
76.7,5.6,35.2
76.7,7.47,40.4
76.7,9.34,47.4
76.7,11.21,60.1
76.7,13.08,78.2
76.7,14.94,89.9
76.7,16.81,103.3
76.7,18.68,117.1
76.7,20.55,140.2
76.7,22.42,172.6
76.7,24.32,204
76.7,26.22,233.3
76.7,28.12,276.2
76.7,30.01,320.5
76.7,31.91,361.3
76.7,33.81,396.8
76.7,35.71,422.3
76.7,37.61,451.7
76.7,39.51,475
76.7,41.41,496.4
76.7,43.31,518.4
76.7,45.21,487.2
76.7,47.11,556.9
76.7,49.01,568.2
76.7,50.91,568.4
76.7,52.81,572
76.7,54.71,568
76.7,56.61,563.7
76.7,58.53,560.6
76.7,60.46,558.8
76.7,62.39,490.3
76.7,64.31,428
76.7,66.24,435.3
76.7,68.17,449.8
76.7,70.09,468.9
76.7,72.02,488
76.7,73.94,478
76.7,75.87,507.2
76.7,77.8,533.2
76.7,79.72,560.8
76.7,81.65,584.6
76.7,83.58,661.8
76.7,85.5,804.9
76.7,87.43,764.9
76.7,89.36,813.6
76.7,91.28,863.3
76.7,93.21,914.6
76.7,95.14,984.7
76.7,97.06,933
76.7,98.99,927.1
76.7,100.91,929.6
76.7,102.84,961.9
76.7,104.8,1075.2
76.7,106.76,1748.1
76.7,108.73,2336.1
76.7,110.69,2756.8
76.7,112.65,3115.5
76.7,114.61,3587.4
76.7,116.57,3821.2
76.7,118.53,3838.3
76.7,120.49,3850.4
76.7,122.45,3855.5
76.7,124.42,3869.5
76.7,126.38,3878.4
76.7,128.34,3865
76.7,130.3,3808.1
76.7,132.26,3730.3
76.7,134.22,3728.3
76.7,136.18,3746.9
76.7,138.15,3748.9
76.7,140.11,3747.3
76.7,142.07,3860.9
76.7,144.03,3911.2
76.7,145.99,3944
76.7,147.95,3953.8
76.7,149.91,3971.2
76.7,151.88,3968.3
76.7,153.84,3997.8
76.7,155.8,4017.3
76.7,157.76,4022.5
76.7,159.72,4019.7
76.7,161.68,4022.3
76.7,163.64,4023.4
76.7,165.61,4020.2
76.7,167.57,4026.1
76.7,169.57,4009.4
76.7,171.56,4036.4
76.7,173.56,4044.6
76.7,175.56,4119.7
76.7,177.56,4149.4
76.7,179.56,4193.6
76.7,181.56,4198.4
76.7,183.56,4182.6
76.7,185.56,4186.6
76.7,187.56,4184.8
76.7,189.55,4189
76.7,191.55,4196
76.7,193.55,3986.2
76.7,195.55,3929.6
76.7,197.55,3969.4
76.7,199.55,4028.8
76.7,201.55,4049
76.7,203.55,4059.6
76.7,205.55,4062.4
76.7,207.54,4052.2
76.7,209.54,4043.7
76.7,211.54,4074
76.7,213.54,4093.7
76.7,215.54,4129.4
76.7,217.54,4157.9
