grid_key,line,sta,lon,lat,shore,bathy_m,line_dist_km
st120-ln90,90,120,-123.99933938089562,30.41843062057705,offshore,4260.8,779.551
st140-ln90_hist,90,140,-125.32710033733098,29.754011676270753,offshore,4387.4,927.289
st160-ln90_hist,90,160,-126.64623320038741,29.087319592021323,offshore,,1075.166
st180-ln90_hist,90,180,-127.95677056746389,28.420626090048273,offshore,,1223.037
st200-ln90_hist,90,200,-129.2589991232332,27.7539310907947,offshore,,1370.901
st25-ln93.3,93.3,25,-117.3808810273247,33.06336157750049,nearshore,316.7,0
st30-ln93.3,93.3,30,-117.53035923689717,32.84328988340128,nearshore,859.4,28.198
st35-ln93.3,93.3,35,-117.86966123895868,32.67561599081857,nearshore,621.8,65.04
st40-ln93.3,93.3,40,-118.21063096913282,32.50887983984095,nearshore,1672.9,102.015
st45-ln93.3,93.3,45,-118.55103593009734,32.34228264809186,nearshore,1409.6,138.988
st50-ln93.3,93.3,50,-118.89077215591166,32.17561596156873,nearshore,1472.7,175.962
st55-ln93.3,93.3,55,-119.22988125358667,32.00894926473297,nearshore,1598.6,212.935
st60-ln93.3,93.3,60,-119.65305152506451,31.8007240739312,nearshore,3485.6,259.158
st70-ln93.3,93.3,70,-120.24387219448703,31.509205120355674,offshore,3937.8,323.868
st80-ln93.3,93.3,80,-120.91656956368645,31.175867501422417,offshore,3835.8,397.809
st90-ln93.3,93.3,90,-121.58688008845596,30.84252989490238,offshore,4098.1,471.749
st100-ln93.3,93.3,100,-122.2548431578896,30.50919229834914,offshore,4187.1,545.686
st110-ln93.3,93.3,110,-122.92049759686581,30.175854709389267,offshore,3721.3,619.622
st120-ln93.3,93.3,120,-123.58388167974972,29.84251712572683,offshore,4098.8,693.556
st20-ln100_hist,100,20,-116.84880392238598,31.928158642800003,nearshore,216.8,0
st40-ln100_hist,100,40,-117.45019721440123,31.354484044374328,nearshore,1896.8,85.596
st60-ln100_hist,100,60,-118.79045461165815,30.687990552703344,nearshore,2846.6,233.419
st80-ln100_hist,100,80,-120.12215710679955,30.021358984553274,offshore,3864.2,381.306
st100-ln100_hist,100,100,-121.44482534538393,29.354682342178577,offshore,3985.8,529.186
st120-ln100_hist,100,120,-122.75878087182338,28.68800408126737,offshore,,677.059
st140-ln100_hist,100,140,-124.06462627235013,28.0217595431891,offshore,,824.928
st160-ln100_hist,100,160,-125.36201265536704,27.35506331447014,offshore,,972.787
st180-ln100_hist,100,180,-126.65153272310744,26.68836568525287,offshore,,1120.64
st200-ln100_hist,100,200,-127.93345424420296,26.02166659412379,offshore,,1268.486
st0-ln110_hist,110,0,-113.79202742522214,30.78332140577286,nearshore,,0
st20-ln110_hist,110,20,-114.38346671929402,30.338608964043388,nearshore,,75.265
st40-ln110_hist,110,40,-116.3386742405504,29.61746686960727,nearshore,,280.174
st60-ln110_hist,110,60,-117.63875579679467,28.955616229583242,nearshore,,426.328
st80-ln110_hist,110,80,-118.95286778479228,28.289607709510154,offshore,,574.602
st100-ln110_hist,110,100,-120.25348676278942,27.622911605575357,offshore,,722.463
st120-ln110_hist,110,120,-121.54612977547863,26.9562143097196,offshore,,870.318
st140-ln110_hist,110,140,-122.83106736007244,26.289515758264425,offshore,,1018.167
st160-ln110_hist,110,160,-124.10856325524936,25.622815893644393,offshore,,1166.009
st180-ln110_hist,110,180,-125.37887472179933,24.956114664361447,offshore,,1313.844
st0-ln120_hist,120,0,-112.78683953174266,29.131194946009575,nearshore,,0
st20-ln120_hist,120,20,-114.49186004357148,28.51644693580616,nearshore,,179.815
st40-ln120_hist,120,40,-115.31337878541177,27.92709085328636,nearshore,,283.725
st60-ln120_hist,120,60,-116.51639764741786,27.224079366765935,nearshore,,425.905
st80-ln120_hist,120,80,-117.80439454093093,26.557381144930112,offshore,,573.755
st100-ln120_hist,120,100,-119.08484447501489,25.890681791413925,offshore,,721.6
st120-ln120_hist,120,120,-120.35800727350646,25.22398125226911,offshore,,869.437
st140-ln120_hist,120,140,-121.6241364673424,24.557279479243938,offshore,,1017.268
st160-ln120_hist,120,160,-122.88347959137332,23.89057642973128,offshore,,1165.094
st-20-ln130_hist,130,-20,-110.58459216916066,27.48515626524896,nearshore,,0
st0-ln130_hist,130,0,-111.54736288544434,27.4887717643754,nearshore,,95.077
st20-ln130_hist,130,20,-112.95742649750223,26.227116299144697,nearshore,,293.404
st40-ln130_hist,130,40,-114.13420712350388,26.123322097275956,nearshore,,411.535
st60-ln130_hist,130,60,-115.40638444834737,25.49186172190885,nearshore,,557.121
st80-ln130_hist,130,80,-116.67530554889912,24.82516022170145,offshore,,704.955
st100-ln130_hist,130,100,-117.93734149422151,24.158457972295196,offshore,,852.782
st120-ln130_hist,130,120,-119.19273660842066,23.491754561421356,offshore,,1000.603
st140-ln130_hist,130,140,-120.44172942501878,22.82504995447287,offshore,,1148.418
st-20-ln140_hist,140,-20,-109.65351263214963,26.243269646184835,nearshore,,0
st0-ln140_hist,140,0,-110.45304858801445,25.772657148127116,nearshore,,95.619
st20-ln140_hist,140,20,-112.19806378241191,24.982386988404485,nearshore,,291.939
st40-ln140_hist,140,40,-113.05439868322186,24.4263507742422,nearshore,,398.386
st60-ln140_hist,140,60,-114.31242913548482,23.759648106312838,nearshore,,546.21
st80-ln140_hist,140,80,-115.56396201989905,23.092944375751888,offshore,,694.027
st100-ln140_hist,140,100,-116.80923267594031,22.42623955026549,offshore,,841.838
st120-ln140_hist,140,120,-118.04847130876193,21.759533602469336,offshore,,989.643
st-20-ln150_hist,150,-20,-108.3629000553871,24.50311096869443,nearshore,,0
st0-ln150_hist,150,0,-109.3997624495363,24.104123607288663,nearshore,,114.186
st20-ln150_hist,150,20,-110.8433679870227,23.210686509627145,nearshore,,291.83
st40-ln150_hist,150,40,-111.99146552750688,22.69414417402629,nearshore,,422.813
st60-ln150_hist,150,60,-113.23309680134408,22.02743915073753,nearshore,,570.62
st80-ln150_hist,150,80,-114.46883133854757,21.360733094054787,offshore,,718.421
st100-ln150_hist,150,100,-115.69889164227787,20.694025983133923,offshore,,866.217
st-40-ln160_hist,160,-40,-106.24325124982795,22.910645989179738,nearshore,,0
st-20-ln160_hist,160,-20,-107.22687273432618,22.955003846331234,nearshore,,100.963
st0-ln160_hist,160,0,-108.46988437013991,22.295352541874124,nearshore,,248.289
st20-ln160_hist,160,20,-109.70795795569647,21.62864733686006,nearshore,,396.092
st40-ln160_hist,160,40,-110.94026839976776,20.961941174891326,nearshore,,543.89
st60-ln160_hist,160,60,-112.16703547490067,20.295234036790667,nearshore,,691.682
st80-ln160_hist,160,80,-113.38847456657156,19.62852590766355,offshore,,839.469
